tokenizer_key,n_files,baseline_tokens,syntax_tokens,cleaning_tokens,final_tokens,syntax_saved,cleaning_saved,replacement_saved,total_saved,reduction_pct,syntax_pct,cleaning_pct,replacement_pct,baseline_bpb,final_bpb,baseline_entropy,V0,k_star_syntax,n_replacement_words
gpt4,301,521239,512508,495839,448385,8731,16669,47454,72854,13.977082,1.675047,3.197957,9.104077,3.946366,3.394779,10.831316,100277,181,6136
deepseek,301,699105,685433,659384,560608,13672,26049,98776,138497,19.810615,1.955643,3.726050,14.128922,4.768017,3.823443,9.177289,32000,180,6374
