tokenizer_key,stage2_profile,stage2_mode,stage3_backend,stage3_plan_a_profile,stage3_ab_mode,n_files,baseline_tokens,sequence_final_tokens,sequence_reduction_pct,effective_total_tokens,effective_total_reduction_pct,stage1_vocab_intro_tokens,stage3_vocab_intro_tokens,final_vocab_intro_tokens,stage3_component_saved,stage3_selected_units,stage3_selected_units_exact,stage3_selected_units_semantic,stage3_used_units_exact,stage3_used_units_semantic,stage3_vocab_scope,stage3_vocab_scope_detail,notes
gpt4,stage2_aggressive,linewise,legacy,,,80,130101,108639,16.49641432425577,108952,16.255832007440375,289,24,313,8766,1457,1457,0,4,0,corpus_once,legacy placeholders used-union / corpus-once,from v2_eval_detail_s3legacy_gpt4.json (regen)
gpt2,stage2_aggressive,linewise,legacy,,,80,252915,149498,40.89002233952118,149897,40.73226182709606,373,26,399,16503,1478,1478,0,4,0,corpus_once,legacy placeholders used-union / corpus-once,from v2_eval_detail_s3legacy_gpt2.json (regen)
gpt4,stage2_aggressive,linewise,plan_a,gpt4_conservative,,80,130101,117327,9.818525607028384,117654,9.567182419812303,289,38,327,78,2,2,0,2,0,corpus_once,plan_a used-codebook-union / corpus-once,from v2_eval_detail_stage3_plan_a_gpt4_conservative.json (regen)
gpt2,stage2_aggressive,linewise,plan_a,default,,80,252915,165368,34.61518692050689,166091,34.3293201273155,373,350,723,633,25,25,0,23,0,corpus_once,plan_a used-codebook-union / corpus-once,from v2_eval_detail_gpt2_plan_a.json (regen)
gpt4,stage2_aggressive,linewise,hybrid_ab,,exact_only,80,130101,120027,7.743214886895567,120572,7.324309574868759,289,256,545,1200,33,33,0,33,0,request_local_sum,hybrid_ab request-local entries (raw + dedup accounting),from v2_eval_detail_stage3_hybrid_ab_gpt4_exact_only.json (regen)
gpt2,stage2_aggressive,linewise,hybrid_ab,,exact_only,80,252915,161095,36.30468734555088,165198,34.682403178933626,373,3730,4103,10373,465,465,0,465,0,request_local_sum,hybrid_ab request-local entries (raw + dedup accounting),from v2_eval_detail_stage3_hybrid_ab_gpt2_exact_only.json (regen)
gpt4,stage2_aggressive,linewise,hybrid_ab,,hybrid,80,130101,120002,7.762430726896796,120569,7.326615475668907,289,278,567,1224,34,33,1,33,1,request_local_sum,hybrid_ab request-local entries (raw + dedup accounting),optional B-on run from v2_eval_detail_stage3_hybrid_ab_gpt4_hybrid.json (regen)
