label,tokenizer_key,stage3_ab_mode,stage2_resolution_source,stage2_profile,stage2_mode,hybrid_ab_stage1_override_used,hybrid_ab_stage2_override_used,k_star_syntax,sum_baseline_tokens,sum_after_syntax_tokens,sum_after_stage2_tokens,sum_after_stage3_tokens,sum_replacement_sequence_saved,stage1_vocab_intro_tokens,stage3_vocab_intro_tokens,sum_effective_total_tokens,sum_stage3_ab_a_sequence_saved,sum_stage3_ab_b_sequence_saved,sum_stage3_ab_a_intro_tokens,sum_stage3_ab_b_intro_tokens,telemetry_sum_stage2_seq,telemetry_sum_stage3_seq,telemetry_sum_realized_delta,telemetry_guardrail_triggered_nfiles,telemetry_sum_aliases_rolled_back,sequence_reduction_pct,effective_total_reduction_pct,syntax_pct,cleaning_pct,replacement_pct
gpt4_hybrid_ab_exact_only_legacy_s12,gpt4,exact_only,explicit,stage2_aggressive,linewise,True,False,0,11830,11830,10826,10788,38,0,6,10794,38,0,6,0,10826,10788,38,0,0,8.808115,8.757396,0.000000,8.486898,0.321217
gpt4_hybrid_ab_exact_only_aggressive_s12,gpt4,exact_only,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,0,11830,11830,9778,9740,38,0,6,9746,38,0,6,0,9778,9740,38,0,0,17.666948,17.616230,0.000000,17.345731,0.321217
gpt4_hybrid_ab_hybrid_aggressive_s12,gpt4,hybrid,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,0,11830,11830,9778,9740,38,0,6,9746,38,0,6,0,9778,9740,38,0,0,17.666948,17.616230,0.000000,17.345731,0.321217
gpt2_hybrid_ab_exact_only_aggressive_s12,gpt2,exact_only,hybrid_ab_default,stage2_hybrid_ab_aggressive,blockwise,True,True,1,20242,20217,13702,13159,543,19,259,13437,608,0,259,0,13762,13159,603,0,0,34.991602,33.618220,0.123506,32.185555,2.682541
